Field	Time	TopLeft:X	TopLeft:Y	TopLeft:Z	TopRight:X	TopRight:Y	TopRight:Z	BottomLeft:X	BottomLeft:Y	BottomLeft:Z	BottomRight:X	BottomRight:Y	BottomRight:Z	Brow:X	Brow:Y	Brow:Z	Tip:X	Tip:Y	Tip:Z	StickTopLeft:X	StickTopLeft:Y	StickTopLeft:Z	StickTopRight:X	StickTopRight:Y	StickTopRight:Z	StickBottomLeft:X	StickBottomLeft:Y	StickBottomLeft:Z	StickBottomRight:X	StickBottomRight:Y	StickBottomRight:Z
786	7.8500	8.544705	-388.889130	1001.875977	64.604424	-382.828613	1004.989990	-15.744309	-364.805237	957.696472	37.943321	-358.978180	960.591370	34.345695	-293.282898	861.176331	215.524551	-467.013824	1207.427490	181.824631	-475.919556	1204.896606	258.618774	-439.630310	1179.977173	140.971588	-472.465027	1173.770996	219.296631	-437.190765	1148.497681
787	7.8600	8.553763	-388.895782	1001.874023	64.612953	-382.834198	1004.986389	-15.737683	-364.810974	957.695618	37.949516	-358.982880	960.589233	34.348007	-293.284546	861.176331	215.389374	-467.073151	1207.461914	181.690338	-476.007050	1204.904541	258.500000	-439.636932	1180.041504	140.865921	-472.570587	1173.752075	219.210892	-437.214600	1148.524536
788	7.8700	8.562716	-388.902435	1001.872070	64.621391	-382.839752	1004.982788	-15.731126	-364.816681	957.694763	37.955658	-358.987579	960.587097	34.350304	-293.286194	861.176331	215.237839	-467.151276	1207.497070	181.539719	-476.113953	1204.910645	258.366913	-439.658600	1180.110596	140.746292	-472.694824	1173.728516	219.114014	-437.252502	1148.553223
789	7.8800	8.571560	-388.909027	1001.870117	64.629730	-382.845306	1004.979187	-15.724636	-364.822388	957.693848	37.961742	-358.992249	960.584900	34.352589	-293.287842	861.176331	215.073257	-467.246979	1207.531494	181.376236	-476.238647	1204.914307	258.222137	-439.694824	1180.182617	140.615356	-472.835815	1173.700073	219.007584	-437.303680	1148.583008
790	7.8900	8.580296	-388.915588	1001.868103	64.637978	-382.850830	1004.975586	-15.718216	-364.828064	957.692993	37.967770	-358.996918	960.582764	34.354858	-293.289459	861.176270	214.899109	-467.358826	1207.564087	181.203476	-476.379303	1204.914551	258.068390	-439.744965	1180.255615	140.475937	-472.991455	1173.666626	218.893341	-437.367188	1148.613037
791	7.9000	8.588921	-388.922089	1001.866150	64.646126	-382.856354	1004.971985	-15.711866	-364.833740	957.692078	37.973740	-359.001587	960.580627	34.357117	-293.291077	861.176208	214.718964	-467.485291	1207.593140	181.025055	-476.533966	1204.910645	257.908447	-439.808289	1180.327637	140.330841	-473.159546	1173.628174	218.773117	-437.442017	1148.642212
792	7.9100	8.597435	-388.928589	1001.864197	64.654175	-382.861816	1004.968445	-15.705587	-364.839386	957.691101	37.979652	-359.006226	960.578430	34.359360	-293.292694	861.176086	214.536285	-467.624664	1207.617676	180.844528	-476.700592	1204.901978	257.745148	-439.883942	1180.397095	140.182938	-473.337799	1173.584717	218.648788	-437.527069	1148.669800
793	7.9200	8.605837	-388.935059	1001.862183	64.662125	-382.867279	1004.964844	-15.699380	-364.845032	957.690186	37.985508	-359.010864	960.576294	34.361588	-293.294312	861.175964	214.354492	-467.775146	1207.636353	180.665329	-476.877014	1204.887817	257.581299	-439.970917	1180.462158	140.034958	-473.523834	1173.536377	218.522278	-437.621155	1148.695068
794	7.9300	8.614126	-388.941467	1001.860229	64.669975	-382.872742	1004.961304	-15.693245	-364.850647	957.689209	37.991302	-359.015503	960.574097	34.363800	-293.295929	861.175781	214.176773	-467.934753	1207.648315	180.490692	-477.060974	1204.867798	257.419525	-440.068115	1180.521240	139.889526	-473.715271	1173.483521	218.395401	-437.723053	1148.717285
795	7.9400	8.622301	-388.947845	1001.858215	64.677734	-382.878143	1004.957764	-15.687183	-364.856232	957.688232	37.997044	-359.020142	960.571899	34.366001	-293.297546	861.175659	214.006073	-468.101501	1207.652954	180.323532	-477.250214	1204.841797	257.262390	-440.174347	1180.573120	139.749069	-473.909668	1173.426147	218.269974	-437.831421	1148.735718
