Field	Time	TopLeft:X	TopLeft:Y	TopLeft:Z	TopRight:X	TopRight:Y	TopRight:Z	BottomLeft:X	BottomLeft:Y	BottomLeft:Z	BottomRight:X	BottomRight:Y	BottomRight:Z	Brow:X	Brow:Y	Brow:Z	Tip:X	Tip:Y	Tip:Z	StickTopLeft:X	StickTopLeft:Y	StickTopLeft:Z	StickTopRight:X	StickTopRight:Y	StickTopRight:Z	StickBottomLeft:X	StickBottomLeft:Y	StickBottomLeft:Z	StickBottomRight:X	StickBottomRight:Y	StickBottomRight:Z		
180	0	-35.219391	-340.945465	1007.684021	20.912239	-344.818207	1010.779480	-54.819641	-313.434418	963.499512	-1.013948	-317.294250	966.295837	7.285503	-253.166946	865.679443	159.254486	-375.418335	1227.535522	176.686554	-393.773102	1203.133301	115.292740	-337.913452	1235.514893	176.880798	-404.932983	1152.494263	116.484909	-347.107056	1186.056274			
181	0	-35.221703	-340.946472	1007.683777	20.909925	-344.819031	1010.779724	-54.821827	-313.434814	963.499329	-1.016052	-317.294983	966.295532	7.284337	-253.167450	865.679810	158.821487	-375.349304	1227.535767	176.319031	-393.695007	1203.154419	114.826790	-337.868713	1235.457397	176.649384	-404.848175	1152.476929	116.149925	-347.049896	1185.987061			
182	0	-35.224022	-340.947479	1007.683655	20.907610	-344.819916	1010.779968	-54.824013	-313.435211	963.499146	-1.018159	-317.295715	966.295166	7.283169	-253.167953	865.680115	158.420227	-375.297302	1227.522339	175.977615	-393.630066	1203.159302	114.395470	-337.839203	1235.392578	176.433426	-404.765564	1152.448364	115.839745	-346.997345	1185.910889			
183	0	-35.226337	-340.948486	1007.683289	20.905294	-344.820770	1010.780212	-54.826199	-313.435547	963.498962	-1.020269	-317.296509	966.294861	7.282000	-253.168457	865.680420	158.056107	-375.260681	1227.493286	175.666656	-393.577240	1203.146118	114.004997	-337.822723	1235.318604	176.234833	-404.684753	1152.407593	115.558258	-346.948029	1185.826294			
184	0	-35.228661	-340.949493	1007.683167	20.902975	-344.821625	1010.780457	-54.828400	-313.436005	963.498779	-1.022381	-317.297241	966.294617	7.280829	-253.168976	865.680725	157.734100	-375.236969	1227.446411	175.390076	-393.534821	1203.112549	113.660973	-337.816254	1235.234375	176.055130	-404.605164	1152.353394	115.308922	-346.900024	1185.732422			
185	0	-35.230991	-340.950562	1007.682922	20.900654	-344.822510	1010.780701	-54.830593	-313.436401	963.498535	-1.024495	-317.298035	966.294373	7.279657	-253.169479	865.681030	157.458420	-375.223053	1227.380127	175.151306	-393.500366	1203.057495	113.368309	-337.816071	1235.138672	175.895706	-404.526093	1152.284912	115.094681	-346.851105	1185.628052			
186	0	-35.233315	-340.951569	1007.682678	20.898329	-344.823395	1010.781067	-54.832794	-313.436798	963.498352	-1.026611	-317.298767	966.294067	7.278483	-253.169983	865.681335	157.232635	-375.215088	1227.293213	174.953094	-393.471100	1202.979736	113.131042	-337.817749	1235.029663	175.757523	-404.446594	1152.201050	114.917915	-346.798981	1185.512573			
187	0	-35.235645	-340.952606	1007.682556	20.896004	-344.824249	1010.781189	-54.834995	-313.437256	963.498108	-1.028730	-317.299530	966.293762	7.277309	-253.170486	865.681702	157.059464	-375.208740	1227.184937	174.797562	-393.443665	1202.878296	112.952324	-337.816498	1234.906982	175.641296	-404.365723	1152.101929	114.780396	-346.740997	1185.385010			
188	0	-35.237980	-340.953613	1007.682312	20.893681	-344.825134	1010.781433	-54.837200	-313.437683	963.497925	-1.030850	-317.300323	966.293457	7.276133	-253.170990	865.682007	156.940643	-375.199249	1227.054321	174.686111	-393.414551	1202.753418	112.834244	-337.807220	1234.769653	175.547302	-404.282257	1151.986938	114.683167	-346.674377	1185.244995			
189	0	-35.240307	-340.954651	1007.682068	20.891354	-344.826050	1010.781616	-54.839405	-313.438080	963.497620	-1.032972	-317.301086	966.293152	7.274956	-253.171539	865.682373	156.876968	-375.181763	1226.901611	174.619247	-393.379944	1202.605103	112.777794	-337.784454	1234.617065	175.475449	-404.195160	1151.856689	114.626587	-346.596466	1185.092407			
190	0	-35.242645	-340.955719	1007.681824	20.889023	-344.826904	1010.781860	-54.841614	-313.438568	963.497375	-1.035096	-317.301880	966.292847	7.273778	-253.172043	865.682678	156.868195	-375.151184	1226.727173	174.596664	-393.336060	1202.434082	112.782829	-337.742950	1234.448853	175.425262	-404.103210	1151.711060	114.610275	-346.504578	1184.927246			
191	0	-35.244984	-340.956757	1007.681580	20.886696	-344.827820	1010.782104	-54.843826	-313.439026	963.497192	-1.037222	-317.302612	966.292480	7.272599	-253.172546	865.682983	156.912994	-375.102722	1226.531372	174.617249	-393.279144	1202.241211	112.848022	-337.677643	1234.264893	175.395859	-404.005402	1151.551147	114.633118	-346.396240	1184.749146			
192	0	-35.247318	-340.957825	1007.681519	20.884365	-344.828735	1010.782349	-54.846043	-313.439453	963.496948	-1.039349	-317.303406	966.292175	7.271419	-253.173050	865.683228	157.009033	-375.031830	1226.315552	174.678940	-393.205658	1202.027954	112.970863	-337.583679	1234.065186	175.386017	-403.900757	1151.377441	114.693245	-346.269226	1184.558594			
